date,sales,customers,region
2024-01-01,15200,120,East
2024-01-02,14800,115,East
2024-01-03,16100,132,East
2024-01-04,13900,108,East
2024-01-05,17000,145,East
2024-01-01,12300,98,West
2024-01-02,13100,102,West
2024-01-03,11900,95,West
2024-01-04,12700,100,West
2024-01-05,13500,110,West
2024-01-01,9800,78,South
2024-01-02,10200,82,South
2024-01-03,9500,75,South
2024-01-04,10100,80,South
2024-01-05,10700,85,South
2024-02-01,15800,125,East
2024-02-02,15200,118,East
2024-02-03,16500,135,East
2024-02-04,14200,112,East
2024-02-05,17300,148,East
2024-02-01,12800,102,West
2024-02-02,13500,108,West
2024-02-03,12200,97,West
2024-02-04,13000,103,West
2024-02-05,13800,113,West
2024-02-01,10200,80,South
2024-02-02,10500,84,South
2024-02-03,9900,78,South
2024-02-04,10400,83,South
2024-02-05,11000,88,South
